,Trial,Similarity_Threshold,Similarity_Function,Validation_Accuracy,Testing Accuracy,F1_weighted_score,F1_micro_score
0,0,0.005,cosine,0.9945017099380493,0.9944770932197571,0.994692665059293,0.9944770713346762
1,1,0.005,euclidean,0.9938503503799438,0.9940325617790222,0.9940623068438509,0.9940325890619532
2,2,0.005,linear,0.9939844608306885,0.9940041899681091,0.9941634465264781,0.994004217853056
3,3,0.005,manhattan,0.9949519038200378,0.9950066804885864,0.9951170214529969,0.9950066672340908
4,4,0.05,cosine,0.9949615001678467,0.9949877262115479,0.9950978614794048,0.994987753094826
5,5,0.05,euclidean,0.9938982129096985,0.9937583208084106,0.9940307136802995,0.9937583340426136
6,6,0.05,linear,0.9942143559455872,0.9942973852157593,0.9945266107935145,0.9942973870116606
7,7,0.05,manhattan,0.9931127429008484,0.9930206537246704,0.9933575045494981,0.9930206826112861
8,8,0.1,cosine,0.9945974946022034,0.9945716261863708,0.9947802156081055,0.9945716420310002
9,9,0.1,euclidean,0.9937736988067627,0.9939285516738892,0.9941528651962649,0.9939285612959968
10,10,0.1,linear,0.994434654712677,0.9944392442703247,0.9946563134501101,0.9944392430561466
11,11,0.1,manhattan,0.9946070909500122,0.9945432543754578,0.9947519288572346,0.994543270822103
12,12,0.3,cosine,0.9952584505081177,0.9951106905937195,0.9952229498972369,0.9951106950000473
13,13,0.3,euclidean,0.9945878982543945,0.9945338368415833,0.994745182633529,0.9945338137524706
14,14,0.3,linear,0.9950189590454102,0.9950728416442871,0.9951735726590414,0.9950728667215176
15,15,0.3,manhattan,0.994434654712677,0.994448721408844,0.9946664205945959,0.994448700125779
16,16,0.5,cosine,0.9960247278213501,0.995933473110199,0.9958922405912634,0.9959334600580664
17,17,0.5,euclidean,0.9945878982543945,0.9945622086524963,0.9947714557679985,0.9945621849613678
18,18,0.5,linear,0.9949519038200378,0.9950066804885864,0.9951170214529969,0.9950066672340908
19,19,0.5,manhattan,0.9939844608306885,0.993947446346283,0.9942043287570471,0.9939474754352616
20,20,0.7,cosine,0.9953542351722717,0.9954416751861572,0.9955394102444655,0.9954416924371814
21,21,0.7,euclidean,0.9946070909500122,0.9945716261863708,0.9947802156081055,0.9945716420310002
22,22,0.7,linear,0.9955266714096069,0.9956686496734619,0.9957083147988319,0.9956686621083591
23,23,0.7,manhattan,0.9949519038200378,0.9949972033500671,0.9951081045342157,0.9949972101644584
24,24,0.9,cosine,0.9931989908218384,0.9930963516235352,0.9933918059982287,0.9930963391683453
25,25,0.9,euclidean,0.9945878982543945,0.9945622086524963,0.9947714557679985,0.9945621849613678
26,26,0.9,linear,0.9944442510604858,0.9944297671318054,0.9946206694989982,0.9944297859865142
27,27,0.9,manhattan,0.994530439376831,0.9945054650306702,0.9947175714425678,0.9945054425435734
